NodeName,NeId,Object,Time,Interval,Direction,NeAlias,NeType,Position,RFInputPower,MeanRxLevel1m,IdLogNum,TID,FarEndTID,FailureDescription,rain
SOEMTN,5887,1/2.1/1,2019-01-01 23:15:00,15,Near End,610313_keshet<--aniam.1,MLCN,-,-37.6,0.0,0,27C6,H8G2,-,0.0
SOEMTN,5887,1/2.1/1,2019-01-01 23:30:00,15,Near End,610313_keshet<--aniam.1,MLCN,-,-37.9,0.0,0,27C6,H8G2,-,0.0
SOEMTN,5887,1/2.1/1,2019-01-01 23:45:00,15,Near End,610313_keshet<--aniam.1,MLCN,-,-37.9,0.0,0,27C6,H8G2,-,0.0
SOEMTN,5225,1/5.1/1,2019-01-02 00:00:00,15,Near End,630383_mahalot.1,AMM 6PD,-,-40.4,0.0,0,6DC2,N5Q3,-,0.23783163656433753
SOEMTN,5225,1/5.1/1,2019-01-02 00:15:00,15,Near End,630383_mahalot.1,AMM 6PD,-,-40.7,0.0,0,6DC2,N5Q3,-,0.35143540087064046
SOEMTN,5225,1/5.1/1,2019-01-02 00:30:00,15,Near End,630383_mahalot.1,AMM 6PD,-,-40.4,0.0,0,6DC2,N5Q3,-,0.23783163656433753
SOEMTN,5225,1/5.1/1,2019-01-02 00:45:00,15,Near End,630383_mahalot.1,AMM 6PD,-,-40.4,0.0,0,6DC2,N5Q3,-,0.23783163656433753
SOEMTN,5225,1/5.1/1,2019-01-02 01:00:00,15,Near End,630383_mahalot.1,AMM 6PD,-,-40.7,0.0,0,6DC2,N5Q3,-,0.35143540087064046
SOEMTN,5225,1/5.1/1,2019-01-02 01:15:00,15,Near End,630383_mahalot.1,AMM 6PD,-,-40.4,0.0,0,6DC2,N5Q3,-,0.23783163656433753
SOEMTN,5225,1/5.1/1,2019-01-02 01:30:00,15,Near End,630383_mahalot.1,AMM 6PD,-,-40.7,0.0,0,6DC2,N5Q3,-,0.35143540087064046
SOEMTN,5225,1/5.1/1,2019-01-02 01:45:00,15,Near End,630383_mahalot.1,AMM 6PD,-,-40.4,0.0,0,6DC2,N5Q3,-,0.23783163656433753
SOEMTN,5225,1/5.1/1,2019-01-02 02:00:00,15,Near End,630383_mahalot.1,AMM 6PD,-,-40.4,0.0,0,6DC2,N5Q3,-,0.23783163656433753
SOEMTN,5225,1/5.1/1,2019-01-02 02:15:00,15,Near End,630383_mahalot.1,AMM 6PD,-,-40.4,0.0,0,6DC2,N5Q3,-,0.23783163656433753
SOEMTN,5225,1/5.1/1,2019-01-02 02:30:00,15,Near End,630383_mahalot.1,AMM 6PD,-,-40.4,0.0,0,6DC2,N5Q3,-,0.23783163656433753
SOEMTN,5225,1/5.1/1,2019-01-02 02:45:00,15,Near End,630383_mahalot.1,AMM 6PD,-,-40.4,0.0,0,6DC2,N5Q3,-,0.23783163656433753
SOEMTN,5225,1/5.1/1,2019-01-02 03:00:00,15,Near End,630383_mahalot.1,AMM 6PD,-,-40.4,0.0,0,6DC2,N5Q3,-,0.23783163656433753
SOEMTN,5225,1/5.1/1,2019-01-02 03:15:00,15,Near End,630383_mahalot.1,AMM 6PD,-,-40.4,0.0,0,6DC2,N5Q3,-,0.23783163656433753
SOEMTN,5225,1/5.1/1,2019-01-02 03:30:00,15,Near End,630383_mahalot.1,AMM 6PD,-,-40.4,0.0,0,6DC2,N5Q3,-,0.23783163656433753
SOEMTN,5225,1/5.1/1,2019-01-02 03:45:00,15,Near End,630383_mahalot.1,AMM 6PD,-,-40.4,0.0,0,6DC2,N5Q3,-,0.23783163656433753
SOEMTN,5225,1/5.1/1,2019-01-02 04:00:00,15,Near End,630383_mahalot.1,AMM 6PD,-,-40.4,0.0,0,6DC2,N5Q3,-,0.23783163656433753
SOEMTN,5225,1/5.1/1,2019-01-02 04:15:00,15,Near End,630383_mahalot.1,AMM 6PD,-,-41.3,0.0,0,6DC2,N5Q3,-,0.574759095546678
SOEMTN,5225,1/5.1/1,2019-01-02 04:30:00,15,Near End,630383_mahalot.1,AMM 6PD,-,-40.4,0.0,0,6DC2,N5Q3,-,0.23783163656433753
SOEMTN,5225,1/5.1/1,2019-01-02 04:45:00,15,Near End,630383_mahalot.1,AMM 6PD,-,-40.4,0.0,0,6DC2,N5Q3,-,0.23783163656433753
SOEMTN,5225,1/5.1/1,2019-01-02 05:00:00,15,Near End,630383_mahalot.1,AMM 6PD,-,-39.8,0.0,0,6DC2,N5Q3,-,0.0
SOEMTN,5225,1/5.1/1,2019-01-02 05:15:00,15,Near End,630383_mahalot.1,AMM 6PD,-,-39.8,0.0,0,6DC2,N5Q3,-,0.0
SOEMTN,5225,1/5.1/1,2019-01-02 05:30:00,15,Near End,630383_mahalot.1,AMM 6PD,-,-39.8,0.0,0,6DC2,N5Q3,-,0.0
SOEMTN,5225,1/5.1/1,2019-01-02 05:45:00,15,Near End,630383_mahalot.1,AMM 6PD,-,-39.8,0.0,0,6DC2,N5Q3,-,0.0
SOEMTN,5225,1/5.1/1,2019-01-02 06:00:00,15,Near End,630383_mahalot.1,AMM 6PD,-,-39.8,0.0,0,6DC2,N5Q3,-,0.0
SOEMTN,5225,1/5.1/1,2019-01-02 06:15:00,15,Near End,630383_mahalot.1,AMM 6PD,-,-39.8,0.0,0,6DC2,N5Q3,-,0.0
SOEMTN,5225,1/5.1/1,2019-01-02 06:30:00,15,Near End,630383_mahalot.1,AMM 6PD,-,-39.5,0.0,0,6DC2,N5Q3,-,0.0
SOEMTN,5225,1/5.1/1,2019-01-02 06:45:00,15,Near End,630383_mahalot.1,AMM 6PD,-,-39.5,0.0,0,6DC2,N5Q3,-,0.0
SOEMTN,5225,1/5.1/1,2019-01-02 07:00:00,15,Near End,630383_mahalot.1,AMM 6PD,-,-39.8,0.0,0,6DC2,N5Q3,-,0.0
SOEMTN,5225,1/5.1/1,2019-01-02 07:15:00,15,Near End,630383_mahalot.1,AMM 6PD,-,-39.8,0.0,0,6DC2,N5Q3,-,0.0
SOEMTN,5225,1/5.1/1,2019-01-02 07:30:00,15,Near End,630383_mahalot.1,AMM 6PD,-,-39.5,0.0,0,6DC2,N5Q3,-,0.0
SOEMTN,5225,1/5.1/1,2019-01-02 07:45:00,15,Near End,630383_mahalot.1,AMM 6PD,-,-39.5,0.0,0,6DC2,N5Q3,-,0.0
SOEMTN,5225,1/5.1/1,2019-01-02 08:00:00,15,Near End,630383_mahalot.1,AMM 6PD,-,-39.8,0.0,0,6DC2,N5Q3,-,0.0
SOEMTN,5225,1/5.1/1,2019-01-02 08:15:00,15,Near End,630383_mahalot.1,AMM 6PD,-,-39.5,0.0,0,6DC2,N5Q3,-,0.0
SOEMTN,5225,1/5.1/1,2019-01-02 08:30:00,15,Near End,630383_mahalot.1,AMM 6PD,-,-39.5,0.0,0,6DC2,N5Q3,-,0.0
SOEMTN,5225,1/5.1/1,2019-01-02 08:45:00,15,Near End,630383_mahalot.1,AMM 6PD,-,-39.5,0.0,0,6DC2,N5Q3,-,0.0
SOEMTN,5225,1/5.1/1,2019-01-02 09:00:00,15,Near End,630383_mahalot.1,AMM 6PD,-,-39.5,0.0,0,6DC2,N5Q3,-,0.0
SOEMTN,5225,1/5.1/1,2019-01-02 09:15:00,15,Near End,630383_mahalot.1,AMM 6PD,-,-39.5,0.0,0,6DC2,N5Q3,-,0.0
SOEMTN,5225,1/5.1/1,2019-01-02 09:30:00,15,Near End,630383_mahalot.1,AMM 6PD,-,-39.5,0.0,0,6DC2,N5Q3,-,0.0
SOEMTN,5225,1/5.1/1,2019-01-02 09:45:00,15,Near End,630383_mahalot.1,AMM 6PD,-,-39.8,0.0,0,6DC2,N5Q3,-,0.0
SOEMTN,5225,1/5.1/1,2019-01-02 10:00:00,15,Near End,630383_mahalot.1,AMM 6PD,-,-39.8,0.0,0,6DC2,N5Q3,-,0.0
SOEMTN,5225,1/5.1/1,2019-01-02 10:15:00,15,Near End,630383_mahalot.1,AMM 6PD,-,-39.5,0.0,0,6DC2,N5Q3,-,0.0
SOEMTN,5225,1/5.1/1,2019-01-02 10:30:00,15,Near End,630383_mahalot.1,AMM 6PD,-,-39.5,0.0,0,6DC2,N5Q3,-,0.0
SOEMTN,5225,1/5.1/1,2019-01-02 10:45:00,15,Near End,630383_mahalot.1,AMM 6PD,-,-39.8,0.0,0,6DC2,N5Q3,-,0.0
SOEMTN,5225,1/5.1/1,2019-01-02 11:00:00,15,Near End,630383_mahalot.1,AMM 6PD,-,-39.8,0.0,0,6DC2,N5Q3,-,0.0
SOEMTN,5225,1/5.1/1,2019-01-02 11:15:00,15,Near End,630383_mahalot.1,AMM 6PD,-,-39.5,0.0,0,6DC2,N5Q3,-,0.0
SOEMTN,5225,1/5.1/1,2019-01-02 11:30:00,15,Near End,630383_mahalot.1,AMM 6PD,-,-39.5,0.0,0,6DC2,N5Q3,-,0.0
SOEMTN,5225,1/5.1/1,2019-01-02 11:45:00,15,Near End,630383_mahalot.1,AMM 6PD,-,-39.8,0.0,0,6DC2,N5Q3,-,0.0
SOEMTN,5225,1/5.1/1,2019-01-02 12:00:00,15,Near End,630383_mahalot.1,AMM 6PD,-,-39.5,0.0,0,6DC2,N5Q3,-,0.0
SOEMTN,5225,1/5.1/1,2019-01-02 12:15:00,15,Near End,630383_mahalot.1,AMM 6PD,-,-39.1,0.0,0,6DC2,N5Q3,-,0.0
SOEMTN,5225,1/5.1/1,2019-01-02 12:30:00,15,Near End,630383_mahalot.1,AMM 6PD,-,-39.5,0.0,0,6DC2,N5Q3,-,0.0
SOEMTN,5225,1/5.1/1,2019-01-02 12:45:00,15,Near End,630383_mahalot.1,AMM 6PD,-,-39.8,0.0,0,6DC2,N5Q3,-,0.0
SOEMTN,5225,1/5.1/1,2019-01-02 13:00:00,15,Near End,630383_mahalot.1,AMM 6PD,-,-39.8,0.0,0,6DC2,N5Q3,-,0.0
SOEMTN,5225,1/5.1/1,2019-01-02 13:15:00,15,Near End,630383_mahalot.1,AMM 6PD,-,-39.8,0.0,0,6DC2,N5Q3,-,0.0
SOEMTN,5225,1/5.1/1,2019-01-02 13:30:00,15,Near End,630383_mahalot.1,AMM 6PD,-,-39.8,0.0,0,6DC2,N5Q3,-,0.0
SOEMTN,5225,1/5.1/1,2019-01-02 13:45:00,15,Near End,630383_mahalot.1,AMM 6PD,-,-39.8,0.0,0,6DC2,N5Q3,-,0.0
SOEMTN,5225,1/5.1/1,2019-01-02 14:00:00,15,Near End,630383_mahalot.1,AMM 6PD,-,-39.8,0.0,0,6DC2,N5Q3,-,0.0
SOEMTN,5225,1/5.1/1,2019-01-02 14:15:00,15,Near End,630383_mahalot.1,AMM 6PD,-,-39.8,0.0,0,6DC2,N5Q3,-,0.0
SOEMTN,5225,1/5.1/1,2019-01-02 14:30:00,15,Near End,630383_mahalot.1,AMM 6PD,-,-39.8,0.0,0,6DC2,N5Q3,-,0.0
SOEMTN,5225,1/5.1/1,2019-01-02 14:45:00,15,Near End,630383_mahalot.1,AMM 6PD,-,-39.8,0.0,0,6DC2,N5Q3,-,0.0
SOEMTN,5225,1/5.1/1,2019-01-02 15:00:00,15,Near End,630383_mahalot.1,AMM 6PD,-,-39.8,0.0,0,6DC2,N5Q3,-,0.0
SOEMTN,5225,1/5.1/1,2019-01-02 15:15:00,15,Near End,630383_mahalot.1,AMM 6PD,-,-39.8,0.0,0,6DC2,N5Q3,-,0.0
SOEMTN,5225,1/5.1/1,2019-01-02 15:30:00,15,Near End,630383_mahalot.1,AMM 6PD,-,-39.8,0.0,0,6DC2,N5Q3,-,0.0
SOEMTN,5225,1/5.1/1,2019-01-02 15:45:00,15,Near End,630383_mahalot.1,AMM 6PD,-,-39.5,0.0,0,6DC2,N5Q3,-,0.0
SOEMTN,5225,1/5.1/1,2019-01-02 16:00:00,15,Near End,630383_mahalot.1,AMM 6PD,-,-39.8,0.0,0,6DC2,N5Q3,-,0.0
SOEMTN,5225,1/5.1/1,2019-01-02 16:15:00,15,Near End,630383_mahalot.1,AMM 6PD,-,-39.5,0.0,0,6DC2,N5Q3,-,0.0
SOEMTN,5225,1/5.1/1,2019-01-02 16:30:00,15,Near End,630383_mahalot.1,AMM 6PD,-,-39.8,0.0,0,6DC2,N5Q3,-,0.0
SOEMTN,5225,1/5.1/1,2019-01-02 16:45:00,15,Near End,630383_mahalot.1,AMM 6PD,-,-39.5,0.0,0,6DC2,N5Q3,-,0.0
SOEMTN,5225,1/5.1/1,2019-01-02 17:00:00,15,Near End,630383_mahalot.1,AMM 6PD,-,-39.8,0.0,0,6DC2,N5Q3,-,0.0
SOEMTN,5225,1/5.1/1,2019-01-02 17:15:00,15,Near End,630383_mahalot.1,AMM 6PD,-,-39.5,0.0,0,6DC2,N5Q3,-,0.0
SOEMTN,5225,1/5.1/1,2019-01-02 17:30:00,15,Near End,630383_mahalot.1,AMM 6PD,-,-39.5,0.0,0,6DC2,N5Q3,-,0.0
SOEMTN,5225,1/5.1/1,2019-01-02 17:45:00,15,Near End,630383_mahalot.1,AMM 6PD,-,-39.5,0.0,0,6DC2,N5Q3,-,0.0
SOEMTN,5225,1/5.1/1,2019-01-02 18:00:00,15,Near End,630383_mahalot.1,AMM 6PD,-,-39.5,0.0,0,6DC2,N5Q3,-,0.0
SOEMTN,5225,1/5.1/1,2019-01-02 18:15:00,15,Near End,630383_mahalot.1,AMM 6PD,-,-39.5,0.0,0,6DC2,N5Q3,-,0.0
SOEMTN,5225,1/5.1/1,2019-01-02 18:30:00,15,Near End,630383_mahalot.1,AMM 6PD,-,-39.5,0.0,0,6DC2,N5Q3,-,0.0
SOEMTN,5225,1/5.1/1,2019-01-02 18:45:00,15,Near End,630383_mahalot.1,AMM 6PD,-,-45.4,0.0,0,6DC2,N5Q3,-,2.0436900957279227
SOEMTN,5225,1/5.1/1,2019-01-02 19:00:00,15,Near End,630383_mahalot.1,AMM 6PD,-,-45.1,0.0,0,6DC2,N5Q3,-,1.9381511027952218
SOEMTN,5225,1/5.1/1,2019-01-02 19:15:00,15,Near End,630383_mahalot.1,AMM 6PD,-,-45.1,0.0,0,6DC2,N5Q3,-,1.9381511027952218
SOEMTN,5225,1/5.1/1,2019-01-02 19:30:00,15,Near End,630383_mahalot.1,AMM 6PD,-,-40.1,0.0,0,6DC2,N5Q3,-,0.12200503069238933
SOEMTN,5225,1/5.1/1,2019-01-02 19:45:00,15,Near End,630383_mahalot.1,AMM 6PD,-,-40.1,0.0,0,6DC2,N5Q3,-,0.12200503069238933
SOEMTN,5225,1/5.1/1,2019-01-02 20:00:00,15,Near End,630383_mahalot.1,AMM 6PD,-,-41.0,0.0,0,6DC2,N5Q3,-,0.463619303481723
SOEMTN,5225,1/5.1/1,2019-01-02 20:15:00,15,Near End,630383_mahalot.1,AMM 6PD,-,-41.0,0.0,0,6DC2,N5Q3,-,0.463619303481723
SOEMTN,5225,1/5.1/1,2019-01-02 20:30:00,15,Near End,630383_mahalot.1,AMM 6PD,-,-44.8,0.0,0,6DC2,N5Q3,-,1.8323907231209042
SOEMTN,5225,1/5.1/1,2019-01-02 20:45:00,15,Near End,630383_mahalot.1,AMM 6PD,-,-40.7,0.0,0,6DC2,N5Q3,-,0.35143540087064046
SOEMTN,5225,1/5.1/1,2019-01-02 21:00:00,15,Near End,630383_mahalot.1,AMM 6PD,-,-40.1,0.0,0,6DC2,N5Q3,-,0.12200503069238933
SOEMTN,5225,1/5.1/1,2019-01-02 21:15:00,15,Near End,630383_mahalot.1,AMM 6PD,-,-40.1,0.0,0,6DC2,N5Q3,-,0.12200503069238933
SOEMTN,5225,1/5.1/1,2019-01-02 21:30:00,15,Near End,630383_mahalot.1,AMM 6PD,-,-39.8,0.0,0,6DC2,N5Q3,-,0.0
SOEMTN,5225,1/5.1/1,2019-01-02 21:45:00,15,Near End,630383_mahalot.1,AMM 6PD,-,-40.1,0.0,0,6DC2,N5Q3,-,0.12200503069238933
SOEMTN,5225,1/5.1/1,2019-01-02 22:00:00,15,Near End,630383_mahalot.1,AMM 6PD,-,-39.5,0.0,0,6DC2,N5Q3,-,0.0
SOEMTN,5225,1/5.1/1,2019-01-02 22:15:00,15,Near End,630383_mahalot.1,AMM 6PD,-,-39.8,0.0,0,6DC2,N5Q3,-,0.0
SOEMTN,5225,1/5.1/1,2019-01-02 22:30:00,15,Near End,630383_mahalot.1,AMM 6PD,-,-40.1,0.0,0,6DC2,N5Q3,-,0.12200503069238933
SOEMTN,5225,1/5.1/1,2019-01-02 22:45:00,15,Near End,630383_mahalot.1,AMM 6PD,-,-40.4,0.0,0,6DC2,N5Q3,-,0.23783163656433753
SOEMTN,5225,1/5.1/1,2019-01-02 23:00:00,15,Near End,630383_mahalot.1,AMM 6PD,-,-40.1,0.0,0,6DC2,N5Q3,-,0.12200503069238933
SOEMTN,5225,1/5.1/1,2019-01-02 23:15:00,15,Near End,630383_mahalot.1,AMM 6PD,-,-39.8,0.0,0,6DC2,N5Q3,-,0.0
SOEMTN,5225,1/5.1/1,2019-01-02 23:30:00,15,Near End,630383_mahalot.1,AMM 6PD,-,-42.9,0.0,0,6DC2,N5Q3,-,1.1563552630523233
SOEMTN,5225,1/5.1/1,2019-01-02 23:45:00,15,Near End,630383_mahalot.1,AMM 6PD,-,-41.0,0.0,0,6DC2,N5Q3,-,0.463619303481723
